name,system,rating,genre,release_date,last_played,image_url
The Legend of Zelda: The Minish Cap,Game Boy Advance,Great,Action-Adventure,2004-11-04,2004-11-04,https://images.igdb.com/igdb/image/upload/t_cover_big/co3nsk.jpg
The Legend of Zelda: Link's Awakening Remake,Nintendo Switch,Good,Action-Adventure,2019-11-20,2019-11-20,https://images.igdb.com/igdb/image/upload/t_cover_big/co1qve.jpg
Luigi's Mansion,Nintendo GameCube,Good,Action-Adventure,2001-09-14,2001-09-14,https://images.igdb.com/igdb/image/upload/t_cover_big/cob8pr.jpg
Luigi's Mansion 3,Nintendo Switch,Okay,Action-Adventure,2019-10-31,2019-10-31,https://images.igdb.com/igdb/image/upload/t_cover_big/co22a9.jpg
The Legend of Zelda: Majora's Mask,Nintendo 64,Good,Action-Adventure,2000-04-27,2000-04-27,https://images.igdb.com/igdb/image/upload/t_cover_big/co3pah.jpg
Mario Kart 64,Nintendo 64,Good,Racing,1996-12-14,1996-12-14,https://images.igdb.com/igdb/image/upload/t_cover_big/co67hm.jpg
Mario Kart 8 Deluxe,Nintendo Switch,Good,Racing,2017-04-28,2017-04-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co213p.jpg
Mario Kart DS,Nintendo DS,Good,Racing,2005-11-14,2005-11-14,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9rx.jpg
Mario Kart Double Dash!!,Nintendo GameCube,Good,Racing,2003-11-07,2003-11-07,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ndu.jpg
Mario Kart Wii,Nintendo Wii,Good,Racing,2008-04-10,2008-04-10,https://images.igdb.com/igdb/image/upload/t_cover_big/co214e.jpg
Mario Kart World,Nintendo Switch 2,Great,Racing,2025-06-05,2025-06-05,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9s9.jpg
Mario Party 8,Nintendo Wii,Good,Party,2007-05-29,2007-05-29,https://images.igdb.com/igdb/image/upload/t_cover_big/coba2w.jpg
Mario Party 9,Nintendo Wii,Okay,Party,2012-03-02,2012-03-02,https://images.igdb.com/igdb/image/upload/t_cover_big/co2241.jpg
Mario Party Superstars,Nintendo Switch,Great,Party,2021-10-29,2021-10-29,https://images.igdb.com/igdb/image/upload/t_cover_big/cob9yl.jpg
Mario Strikers Battle League,Nintendo Switch,Okay,Sports,2022-06-10,2022-06-10,https://images.igdb.com/igdb/image/upload/t_cover_big/co83vf.jpg
Mario Strikers Charged,Nintendo Wii,Good,Sports,2007-05-25,2007-05-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co220c.jpg
Mario and Luigi Partners in Time,Nintendo DS,Okay,RPG,2005-11-28,2005-11-28,https://images.igdb.com/igdb/image/upload/t_cover_big/coba41.jpg
